Country,Date,Amount,Controller_Processor,Quoted_Art,Type,LLM_Summary
SPAIN,2022-12-09,120,Private individual,13,Insufficient fulfilment of information obligations,"On 2022-12-09, the DPA of SPAIN fined Private individual €120 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
SPAIN,2022-12-09,8000,Notary,6,Insufficient legal basis for data processing,"On 2022-12-09, the DPA of SPAIN fined Notary €8000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-12-09,480,Private individual,"6,13",Insufficient legal basis for data processing,"On 2022-12-09, the DPA of SPAIN fined Private individual €480 for Insufficient legal basis for data processing (Violating GDPR Article 6,13)."
ROMANIA,2022-12-09,2000,Casa Rusu S.R.L.,25,Insufficient technical and organisational measures to ensure information security,"On 2022-12-09, the DPA of ROMANIA fined Casa Rusu S.R.L. €2000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 25)."
IRELAND,2022-01-26,5000,Slane Credit Union Ltd.,5,Insufficient technical and organisational measures to ensure information security,"On 2022-01-26, the DPA of IRELAND fined Slane Credit Union Ltd. €5000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5)."
SPAIN,2022-11-25,5000,"Association for the prevention and study of crimes, abuses and negligence in information technology and advanced communications (APEDANICA)",5,Non-compliance with general data processing principles,"On 2022-11-25, the DPA of SPAIN fined Association for the prevention and study of crimes, abuses and negligence in information technology and advanced communications (APEDANICA) €5000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-11-25,1800,"ALPA 57 PRODUCCIONES, S.L.",58,Insufficient cooperation with supervisory authority,"On 2022-11-25, the DPA of SPAIN fined ALPA 57 PRODUCCIONES, S.L. €1800 for Insufficient cooperation with supervisory authority (Violating GDPR Article 58)."
SPAIN,2022-12-02,3600,Federation of Sports for People with Intellectual Disabilities of Castilla la Mancha-FECAM,"9,13",Insufficient legal basis for data processing,"On 2022-12-02, the DPA of SPAIN fined Federation of Sports for People with Intellectual Disabilities of Castilla la Mancha-FECAM €3600 for Insufficient legal basis for data processing (Violating GDPR Article 9,13)."
SPAIN,2022-12-02,3500,"CASA 7 PERSONAL SHOPPER, S.L.","5,32",Non-compliance with general data processing principles,"On 2022-12-02, the DPA of SPAIN fined CASA 7 PERSONAL SHOPPER, S.L. €3500 for Non-compliance with general data processing principles (Violating GDPR Article 5,32)."
ITALY,2022-11-10,40000,Usl Valle d'Aosta,"5,9,25,32",Insufficient technical and organisational measures to ensure information security,"On 2022-11-10, the DPA of ITALY fined Usl Valle d'Aosta €40000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,9,25,32)."
ITALY,2022-09-15,40000,FCA Italy S.p.A.,"12,15",Insufficient fulfilment of data subjects rights,"On 2022-09-15, the DPA of ITALY fined FCA Italy S.p.A. €40000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12,15)."
ITALY,2022-10-06,10000,"Codess Sociale, Soc. Coop. sociale.","12,17",Insufficient fulfilment of data subjects rights,"On 2022-10-06, the DPA of ITALY fined Codess Sociale, Soc. Coop. sociale. €10000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12,17)."
ITALY,2022-10-06,2000000,Alpha Exploration,"5,28,32,35",Non-compliance with general data processing principles,"On 2022-10-06, the DPA of ITALY fined Alpha Exploration €2000000 for Non-compliance with general data processing principles (Violating GDPR Article 5,28,32,35)."
SPAIN,2022-12-03,300,Homeowners Association,5,Non-compliance with general data processing principles,"On 2022-12-03, the DPA of SPAIN fined Homeowners Association €300 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-12-03,600,"LORENT 2013, S.L",5,Non-compliance with general data processing principles,"On 2022-12-03, the DPA of SPAIN fined LORENT 2013, S.L €600 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-12-03,3000,"INDECEMI, S.L.",5,Non-compliance with general data processing principles,"On 2022-12-03, the DPA of SPAIN fined INDECEMI, S.L. €3000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-11-29,3000,Company,"6,13",Insufficient legal basis for data processing,"On 2022-11-29, the DPA of SPAIN fined Company €3000 for Insufficient legal basis for data processing (Violating GDPR Article 6,13)."
FRANCE,2022-11-24,600000,ÉLECTRICITÉ DE FRANCE,"7,12,13,14,15,21,34-5",Insufficient fulfilment of data subjects rights,"On 2022-11-24, the DPA of FRANCE fined ÉLECTRICITÉ DE FRANCE €600000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 7,12,13,14,15,21,34-5)."
ITALY,2022-11-10,500000,Vodafone Italia S.p.A.,5,Non-compliance with general data processing principles,"On 2022-11-10, the DPA of ITALY fined Vodafone Italia S.p.A. €500000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-11-29,500,Private individual,5,Non-compliance with general data processing principles,"On 2022-11-29, the DPA of SPAIN fined Private individual €500 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ROMANIA,2022-11-25,3000,OTP LEASING ROMANIA IFN SA,25,Insufficient technical and organisational measures to ensure information security,"On 2022-11-25, the DPA of ROMANIA fined OTP LEASING ROMANIA IFN SA €3000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 25)."
IRELAND,2022-11-25,265000000,Meta Platforms Ireland Limited,25,Insufficient technical and organisational measures to ensure information security,"On 2022-11-25, the DPA of IRELAND fined Meta Platforms Ireland Limited €265000000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 25)."
ROMANIA,2022-11-24,1000,Medicover S.R.L.,32,Insufficient technical and organisational measures to ensure information security,"On 2022-11-24, the DPA of ROMANIA fined Medicover S.R.L. €1000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
ROMANIA,2022-11-21,20000,ING Bank NV Amsterdam Sucursala București,32,Insufficient technical and organisational measures to ensure information security,"On 2022-11-21, the DPA of ROMANIA fined ING Bank NV Amsterdam Sucursala București €20000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,2022-11-21,300,Private individual,5,Non-compliance with general data processing principles,"On 2022-11-21, the DPA of SPAIN fined Private individual €300 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
PORTUGAL,2022-11-02,180000,Setúbal municipality,5,Non-compliance with general data processing principles,"On 2022-11-02, the DPA of PORTUGAL fined Setúbal municipality €180000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ROMANIA,2022-11-18,300,Homeowners Association Bld. Pipera 1-2E,58,Insufficient cooperation with supervisory authority,"On 2022-11-18, the DPA of ROMANIA fined Homeowners Association Bld. Pipera 1-2E €300 for Insufficient cooperation with supervisory authority (Violating GDPR Article 58)."
FRANCE,2022-11-10,800000,DISCORD INC.,"5,32,35",Non-compliance with general data processing principles,"On 2022-11-10, the DPA of FRANCE fined DISCORD INC. €800000 for Non-compliance with general data processing principles (Violating GDPR Article 5,32,35)."
ROMANIA,2022-11-16,28000,Raiffeisen Bank SA,25,Insufficient technical and organisational measures to ensure information security,"On 2022-11-16, the DPA of ROMANIA fined Raiffeisen Bank SA €28000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 25)."
POLAND,2022-11-02,1700,Mayor,5,Insufficient technical and organisational measures to ensure information security,"On 2022-11-02, the DPA of POLAND fined Mayor €1700 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5)."
HUNGARY,2022-08-11,197000,AMPLIFON Hungary Trade and Service Provider LLC,"5,14",Non-compliance with general data processing principles,"On 2022-08-11, the DPA of HUNGARY fined AMPLIFON Hungary Trade and Service Provider LLC €197000 for Non-compliance with general data processing principles (Violating GDPR Article 5,14)."
SPAIN,2022-11-15,80000,"BANKINTER, S.A.",5,Non-compliance with general data processing principles,"On 2022-11-15, the DPA of SPAIN fined BANKINTER, S.A. €80000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-11-11,3600,"XASTRE DO PETO, S.L.","6,13,21",Insufficient legal basis for data processing,"On 2022-11-11, the DPA of SPAIN fined XASTRE DO PETO, S.L. €3600 for Insufficient legal basis for data processing (Violating GDPR Article 6,13,21)."
SPAIN,2022-11-11,48000,Banco Bilbao Vizcaya Argentaria S.L.,"5,32",Non-compliance with general data processing principles,"On 2022-11-11, the DPA of SPAIN fined Banco Bilbao Vizcaya Argentaria S.L. €48000 for Non-compliance with general data processing principles (Violating GDPR Article 5,32)."
SPAIN,2022-11-10,900,Homeowners Association,5,Non-compliance with general data processing principles,"On 2022-11-10, the DPA of SPAIN fined Homeowners Association €900 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-11-10,300,Private individual,5,Non-compliance with general data processing principles,"On 2022-11-10, the DPA of SPAIN fined Private individual €300 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-11-03,70000,UNITED PARCEL SERVICE ESPAÑA LTD Y COMPAÑIA SRC,"5,32",Non-compliance with general data processing principles,"On 2022-11-03, the DPA of SPAIN fined UNITED PARCEL SERVICE ESPAÑA LTD Y COMPAÑIA SRC €70000 for Non-compliance with general data processing principles (Violating GDPR Article 5,32)."
SPAIN,2022-10-31,525000,TECHPUMP SOLUTIONS S.L.,5,Non-compliance with general data processing principles,"On 2022-10-31, the DPA of SPAIN fined TECHPUMP SOLUTIONS S.L. €525000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-11-02,2000,"Rapido Finance, S.L.",6,Insufficient legal basis for data processing,"On 2022-11-02, the DPA of SPAIN fined Rapido Finance, S.L. €2000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-11-02,5000,"CÍTRICOS TANTA, S.L.",6,Insufficient legal basis for data processing,"On 2022-11-02, the DPA of SPAIN fined CÍTRICOS TANTA, S.L. €5000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
ITALY,2022-08-05,1000,Colosseo S.r.l.,"5,15,17,21,24",Insufficient fulfilment of data subjects rights,"On 2022-08-05, the DPA of ITALY fined Colosseo S.r.l. €1000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 5,15,17,21,24)."
ROMANIA,2022-11-09,1000,SC Das Sense Society SRL,58,Insufficient cooperation with supervisory authority,"On 2022-11-09, the DPA of ROMANIA fined SC Das Sense Society SRL €1000 for Insufficient cooperation with supervisory authority (Violating GDPR Article 58)."
ROMANIA,2022-11-08,5000,SC Prestige Media PHG SRL,"5,6",Insufficient legal basis for data processing,"On 2022-11-08, the DPA of ROMANIA fined SC Prestige Media PHG SRL €5000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
SPAIN,2022-10-31,56000,"Vodafone España, S.A.U.","5,32",Non-compliance with general data processing principles,"On 2022-10-31, the DPA of SPAIN fined Vodafone España, S.A.U. €56000 for Non-compliance with general data processing principles (Violating GDPR Article 5,32)."
ROMANIA,2022-11-07,2000,Romanian Post,32,Insufficient technical and organisational measures to ensure information security,"On 2022-11-07, the DPA of ROMANIA fined Romanian Post €2000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
SPAIN,2022-11-02,25000,CAIXABANK S.A.,16,Insufficient fulfilment of data subjects rights,"On 2022-11-02, the DPA of SPAIN fined CAIXABANK S.A. €25000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 16)."
SPAIN,2022-10-31,70000,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.","5,32",Non-compliance with general data processing principles,"On 2022-10-31, the DPA of SPAIN fined BANCO BILBAO VIZCAYA ARGENTARIA, S.A. €70000 for Non-compliance with general data processing principles (Violating GDPR Article 5,32)."
SPAIN,2022-10-31,2000,Private individual,6,Insufficient legal basis for data processing,"On 2022-10-31, the DPA of SPAIN fined Private individual €2000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-09-01,10000,Private individual,6,Insufficient legal basis for data processing,"On 2022-09-01, the DPA of SPAIN fined Private individual €10000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-09-23,1200,"URBANO DIVERTIA, S.L.",5,Non-compliance with general data processing principles,"On 2022-09-23, the DPA of SPAIN fined URBANO DIVERTIA, S.L. €1200 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ITALY,2022-06-16,20000,Deutsche Bank S.p.A.,"12,15",Insufficient fulfilment of data subjects rights,"On 2022-06-16, the DPA of ITALY fined Deutsche Bank S.p.A. €20000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12,15)."
SPAIN,2022-10-25,9000,EL RACO DEL PIS INVERSIONES S.L.,"5,32",Non-compliance with general data processing principles,"On 2022-10-25, the DPA of SPAIN fined EL RACO DEL PIS INVERSIONES S.L. €9000 for Non-compliance with general data processing principles (Violating GDPR Article 5,32)."
SPAIN,2022-10-26,10000,ACKERMANN & SCHWARTZ ATTORNEYS AT LAW SLP,"6,13",Insufficient legal basis for data processing,"On 2022-10-26, the DPA of SPAIN fined ACKERMANN & SCHWARTZ ATTORNEYS AT LAW SLP €10000 for Insufficient legal basis for data processing (Violating GDPR Article 6,13)."
SPAIN,2022-10-17,35000,OES GLOBAL ENERGY S.L.,"5,32",Non-compliance with general data processing principles,"On 2022-10-17, the DPA of SPAIN fined OES GLOBAL ENERGY S.L. €35000 for Non-compliance with general data processing principles (Violating GDPR Article 5,32)."
ITALY,2022-09-15,3000,Thiene municipality,"5,6,2-",Insufficient legal basis for data processing,"On 2022-09-15, the DPA of ITALY fined Thiene municipality €3000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,2-)."
SPAIN,2022-10-24,8000,"ADSL HOUSE, S.L.",48,Insufficient fulfilment of data subjects rights,"On 2022-10-24, the DPA of SPAIN fined ADSL HOUSE, S.L. €8000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 48)."
SPAIN,2022-10-24,400,Private individual,5,Non-compliance with general data processing principles,"On 2022-10-24, the DPA of SPAIN fined Private individual €400 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-10-24,240,Company,5,Non-compliance with general data processing principles,"On 2022-10-24, the DPA of SPAIN fined Company €240 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
ITALY,2022-07-21,20000,Acqua Novara.VCO S.p.a.,"5,6,28,2-",Insufficient legal basis for data processing,"On 2022-07-21, the DPA of ITALY fined Acqua Novara.VCO S.p.a. €20000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,28,2-)."
ITALY,2022-07-21,5000,Ginosa municipality,"5,6,28,2-",Insufficient legal basis for data processing,"On 2022-07-21, the DPA of ITALY fined Ginosa municipality €5000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,28,2-)."
ITALY,2022-07-21,10000,Clio S.r.l.,"5,2-",Insufficient legal basis for data processing,"On 2022-07-21, the DPA of ITALY fined Clio S.r.l. €10000 for Insufficient legal basis for data processing (Violating GDPR Article 5,2-)."
ITALY,2022-10-06,15000,Servizio Idrico Integrato S.c.p.a.,"5,32",Insufficient technical and organisational measures to ensure information security,"On 2022-10-06, the DPA of ITALY fined Servizio Idrico Integrato S.c.p.a. €15000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
UNITED KINGDOM,2022-10-19,5033000,Interserve Group Limited,"5,32",Insufficient technical and organisational measures to ensure information security,"On 2022-10-19, the DPA of UNITED KINGDOM fined Interserve Group Limited €5033000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5,32)."
ITALY,2022-09-15,10000,Bper Banca S.p.A.,12,Insufficient fulfilment of data subjects rights,"On 2022-09-15, the DPA of ITALY fined Bper Banca S.p.A. €10000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12)."
SPAIN,2022-10-20,1000,Private individual,5,Non-compliance with general data processing principles,"On 2022-10-20, the DPA of SPAIN fined Private individual €1000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
GREECE,2022-10-03,20000,NATIONAL BANK OF GREECE S.A.,13,Insufficient fulfilment of information obligations,"On 2022-10-03, the DPA of GREECE fined NATIONAL BANK OF GREECE S.A. €20000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
GREECE,2022-10-03,20000,PIRAEUS BANK S.A.,13,Insufficient fulfilment of information obligations,"On 2022-10-03, the DPA of GREECE fined PIRAEUS BANK S.A. €20000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
GREECE,2022-10-03,20000,EUROBANK ERGASIAS S.A.,13,Insufficient fulfilment of information obligations,"On 2022-10-03, the DPA of GREECE fined EUROBANK ERGASIAS S.A. €20000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
GREECE,2022-10-03,20000,ALFA BANK S.A.,13,Insufficient fulfilment of information obligations,"On 2022-10-03, the DPA of GREECE fined ALFA BANK S.A. €20000 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
GREECE,2022-09-09,15000,School,"5,6,12,13,30",Non-compliance with general data processing principles,"On 2022-09-09, the DPA of GREECE fined School €15000 for Non-compliance with general data processing principles (Violating GDPR Article 5,6,12,13,30)."
GREECE,2022-09-22,3000,Gas station,"12,14",Insufficient fulfilment of data subjects rights,"On 2022-09-22, the DPA of GREECE fined Gas station €3000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12,14)."
ITALY,2022-09-15,2000,Immobiliare Riscostruzione Meloria s.r.l.,"5,13",Insufficient fulfilment of information obligations,"On 2022-09-15, the DPA of ITALY fined Immobiliare Riscostruzione Meloria s.r.l. €2000 for Insufficient fulfilment of information obligations (Violating GDPR Article 5,13)."
SPAIN,2022-10-17,6000,Company,6,Insufficient legal basis for data processing,"On 2022-10-17, the DPA of SPAIN fined Company €6000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
ROMANIA,2022-10-18,150,Private individual,6,Insufficient legal basis for data processing,"On 2022-10-18, the DPA of ROMANIA fined Private individual €150 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
ROMANIA,2022-10-18,2000,SC Materiale Constructii Online SRL,58,Insufficient cooperation with supervisory authority,"On 2022-10-18, the DPA of ROMANIA fined SC Materiale Constructii Online SRL €2000 for Insufficient cooperation with supervisory authority (Violating GDPR Article 58)."
FRANCE,2022-10-17,20000000,Clearview Al Inc.,"6,12,15,17,31",Insufficient fulfilment of data subjects rights,"On 2022-10-17, the DPA of FRANCE fined Clearview Al Inc. €20000000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 6,12,15,17,31)."
SPAIN,2022-10-17,500,Private individual,5,Non-compliance with general data processing principles,"On 2022-10-17, the DPA of SPAIN fined Private individual €500 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-10-19,5000,"RESTEXPERIENCE, S.L.","5,32",Non-compliance with general data processing principles,"On 2022-10-19, the DPA of SPAIN fined RESTEXPERIENCE, S.L. €5000 for Non-compliance with general data processing principles (Violating GDPR Article 5,32)."
ITALY,2022-07-07,20000,Intesa Sanpaolo Vita S.p.a.,5,Non-compliance with general data processing principles,"On 2022-07-07, the DPA of ITALY fined Intesa Sanpaolo Vita S.p.a. €20000 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-10-17,180,"INMUR JOYEROS, S.L.",13,Insufficient fulfilment of information obligations,"On 2022-10-17, the DPA of SPAIN fined INMUR JOYEROS, S.L. €180 for Insufficient fulfilment of information obligations (Violating GDPR Article 13)."
HUNGARY,2022-07-08,1500,Physician,5,Insufficient fulfilment of data subjects rights,"On 2022-07-08, the DPA of HUNGARY fined Physician €1500 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 5)."
ITALY,2022-08-05,20000,Cosmopol Security S.p.A.,"12,15",Insufficient fulfilment of data subjects rights,"On 2022-08-05, the DPA of ITALY fined Cosmopol Security S.p.A. €20000 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 12,15)."
SPAIN,2022-10-14,12000,SEAN SERIOS S.L.,6,Insufficient legal basis for data processing,"On 2022-10-14, the DPA of SPAIN fined SEAN SERIOS S.L. €12000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
HUNGARY,2022-10-05,72500,Bank,5,Insufficient legal basis for data processing,"On 2022-10-05, the DPA of HUNGARY fined Bank €72500 for Insufficient legal basis for data processing (Violating GDPR Article 5)."
GREECE,2022-08-08,5000,IDIKA SA,"5,25",Non-compliance with general data processing principles,"On 2022-08-08, the DPA of GREECE fined IDIKA SA €5000 for Non-compliance with general data processing principles (Violating GDPR Article 5,25)."
BELGIUM,2022-08-19,20000,Medical laboratory,5,Insufficient technical and organisational measures to ensure information security,"On 2022-08-19, the DPA of BELGIUM fined Medical laboratory €20000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5)."
GREECE,2022-09-06,5000,EDYTE SA,29,Insufficient legal basis for data processing,"On 2022-09-06, the DPA of GREECE fined EDYTE SA €5000 for Insufficient legal basis for data processing (Violating GDPR Article 29)."
ROMANIA,2022-09-21,5000,Curtea Veche Publishing SRL,32,Insufficient technical and organisational measures to ensure information security,"On 2022-09-21, the DPA of ROMANIA fined Curtea Veche Publishing SRL €5000 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 32)."
ITALY,2022-09-01,4000,Liceo Statale 'Edoardo Amaldi”,"5,6,9,2-,2-,2-",Insufficient legal basis for data processing,"On 2022-09-01, the DPA of ITALY fined Liceo Statale 'Edoardo Amaldi” €4000 for Insufficient legal basis for data processing (Violating GDPR Article 5,6,9,2-,2-,2-)."
ROMANIA,2022-10-03,150,Website operator,5,Non-compliance with general data processing principles,"On 2022-10-03, the DPA of ROMANIA fined Website operator €150 for Non-compliance with general data processing principles (Violating GDPR Article 5)."
SPAIN,2022-10-04,600,Homeowners Association,"5,13",Non-compliance with general data processing principles,"On 2022-10-04, the DPA of SPAIN fined Homeowners Association €600 for Non-compliance with general data processing principles (Violating GDPR Article 5,13)."
SPAIN,2022-10-09,64000,EVERIS SPAIN S.L,"5,32",Non-compliance with general data processing principles,"On 2022-10-09, the DPA of SPAIN fined EVERIS SPAIN S.L €64000 for Non-compliance with general data processing principles (Violating GDPR Article 5,32)."
SPAIN,2022-10-09,6000,UNION DE OFICIALES DE LA GUARDIA CIVIL PROFESIONAL,6,Insufficient legal basis for data processing,"On 2022-10-09, the DPA of SPAIN fined UNION DE OFICIALES DE LA GUARDIA CIVIL PROFESIONAL €6000 for Insufficient legal basis for data processing (Violating GDPR Article 6)."
SPAIN,2022-10-09,800,Company,"6,13",Insufficient legal basis for data processing,"On 2022-10-09, the DPA of SPAIN fined Company €800 for Insufficient legal basis for data processing (Violating GDPR Article 6,13)."
SPAIN,2022-10-09,900,Private individual,5,Insufficient technical and organisational measures to ensure information security,"On 2022-10-09, the DPA of SPAIN fined Private individual €900 for Insufficient technical and organisational measures to ensure information security (Violating GDPR Article 5)."
ICELAND,2022-05-03,10600,HEI – Medical Travel,1590/2018,Insufficient fulfilment of data subjects rights,"On 2022-05-03, the DPA of ICELAND fined HEI – Medical Travel €10600 for Insufficient fulfilment of data subjects rights (Violating GDPR Article 1590/2018)."
ESTONIA,2020-08-17,56,Health care worker,"5,6",Insufficient legal basis for data processing,"On 2020-08-17, the DPA of ESTONIA fined Health care worker €56 for Insufficient legal basis for data processing (Violating GDPR Article 5,6)."
